midpoint,gdpc,a2003,a2013,c2003,c2013
2530,2540,0.196276393954235,0.210691982210762,71.8557290376256,56.3679933764624
2550,2560,0.154287350458953,0.187176093666165,72.0100163880845,56.5551694701286
2570,2580,0.14197830675888,0.229400958198273,72.1519946948434,56.7845704283269
2590,2600,0.154843300690263,0.197284292977321,72.3068379955337,56.9818547213042
2610,2620,0.176446283201027,0.192488097078688,72.4832842787347,57.1743428183829
2630,2640,0.144211818069635,0.184772980777226,72.6274960968044,57.3591157991601
2650,2660,0.138806857438867,0.168236202906908,72.7663029542432,57.527352002067
2670,2680,0.143084534059052,0.176091306608506,72.9093874883023,57.7034433086755
2690,2700,0.134740725776853,0.187323938800607,73.0441282140791,57.8907672474761
2710,2720,0.144699852306563,0.17605803566584,73.1888280663857,58.066825283142
2730,2740,0.144411934149883,0.185309269195904,73.3332400005356,58.2521345523379
2750,2760,0.157579077147378,0.24876812597146,73.4908190776829,58.5009026783093
2770,2780,0.134120191283326,0.167898683335647,73.6249392689663,58.668801361645
2790,2800,0.13283908942433,0.157964378254824,73.7577783583906,58.8267657398998
2810,2820,0.153542240749747,0.170635975623397,73.9113205991404,58.9974017155232
2830,2840,0.168703770709305,0.154075883547339,74.0800243698497,59.1514775990705
2850,2860,0.133143131166093,0.179062000037101,74.2131675010157,59.3305395991076
2870,2880,0.126329805081037,0.150933222043506,74.3394973060968,59.4814728211511
2890,2900,0.110633022032533,0.181038668589971,74.4501303281293,59.6625114897411
2910,2920,0.126621621662575,0.152049236746229,74.5767519497919,59.8145607264873
2930,2940,0.115130024507982,0.185220459983682,74.6918819742999,59.999781186471
2950,2960,0.124717557501269,0.17765684265656,74.8165995318011,60.1774380291276
2970,2980,0.116176419987626,0.176030853831935,74.9327759517888,60.3534688829595
